sh600000,2021_03_05_09:32:32,10.92,--,174,"190,008",ÂôÅÌ
sh600000,2021_03_05_09:32:29,10.92,-0.01,249,"271,908",ÂôÅÌ
sh600000,2021_03_05_09:32:26,10.93,0.02,279,"304,947",ÂòÅÌ
sh600000,2021_03_05_09:32:23,10.91,-0.01,265,"289,115",ÂôÅÌ
sh600000,2021_03_05_09:32:20,10.92,-0.01,120,"131,040",ÖÐÐÔÅÌ
sh600000,2021_03_05_09:32:17,10.93,--,458,"500,594",ÂòÅÌ
sh600000,2021_03_05_09:32:14,10.93,--,496,"542,128",ÂòÅÌ
sh600000,2021_03_05_09:32:11,10.93,--,583,"637,219",ÂòÅÌ
sh600000,2021_03_05_09:32:08,10.93,--,224,"244,832",ÂòÅÌ
sh600000,2021_03_05_09:32:05,10.93,0.02,3347,"3,658,271",ÂòÅÌ
sh600000,2021_03_05_09:32:02,10.91,--,205,"223,655",ÂòÅÌ
sh600000,2021_03_05_09:31:59,10.91,0.01,299,"326,209",ÂòÅÌ
sh600000,2021_03_05_09:31:56,10.90,10.9,1004,"1,094,360",ÂòÅÌ
sh600000,2021_03_05_09:38:32,10.88,0.01,30,"32,640",ÂòÅÌ
sh600000,2021_03_05_09:38:29,10.87,--,184,"200,008",ÖÐÐÔÅÌ
sh600000,2021_03_05_09:38:26,10.87,--,335,"364,145",ÂòÅÌ
sh600000,2021_03_05_09:38:23,10.87,-0.01,245,"266,315",ÂôÅÌ
sh600000,2021_03_05_09:38:20,10.88,0.02,91,"99,008",ÂòÅÌ
sh600000,2021_03_05_09:38:17,10.86,-0.01,134,"145,524",ÂôÅÌ
sh600000,2021_03_05_09:38:14,10.87,--,195,"211,965",ÂòÅÌ
sh600000,2021_03_05_09:38:11,10.87,--,27,"29,349",ÂòÅÌ
sh600000,2021_03_05_09:38:08,10.87,--,79,"85,873",ÂòÅÌ
sh600000,2021_03_05_09:38:05,10.87,--,289,"314,143",ÂôÅÌ
sh600000,2021_03_05_09:38:02,10.87,-0.01,329,"357,623",ÂôÅÌ
sh600000,2021_03_05_09:37:59,10.88,--,113,"122,944",ÂòÅÌ
sh600000,2021_03_05_09:37:56,10.88,0.01,175,"190,400",ÂòÅÌ
sh600000,2021_03_05_09:37:53,10.87,-0.01,152,"165,224",ÂôÅÌ
sh600000,2021_03_05_09:37:50,10.88,--,198,"215,424",ÂòÅÌ
sh600000,2021_03_05_09:37:47,10.88,0.01,100,"108,800",ÂòÅÌ
sh600000,2021_03_05_09:37:44,10.87,--,438,"476,106",ÂòÅÌ
sh600000,2021_03_05_09:37:41,10.87,0.01,727,"790,249",ÂòÅÌ
sh600000,2021_03_05_09:37:38,10.86,--,381,"413,766",ÂòÅÌ
sh600000,2021_03_05_09:37:35,10.86,-0.02,734,"797,124",ÂôÅÌ
sh600000,2021_03_05_09:37:32,10.88,0.02,153,"166,464",ÂòÅÌ
sh600000,2021_03_05_09:37:29,10.86,-0.01,945,"1,026,270",ÂôÅÌ
sh600000,2021_03_05_09:37:26,10.87,-0.01,156,"169,572",ÂôÅÌ
sh600000,2021_03_05_09:37:23,10.88,--,97,"105,536",ÂòÅÌ
sh600000,2021_03_05_09:37:20,10.88,0.01,41,"44,608",ÂòÅÌ
sh600000,2021_03_05_09:37:17,10.87,-0.01,106,"115,222",ÂôÅÌ
sh600000,2021_03_05_09:37:14,10.88,--,242,"263,296",ÂôÅÌ
sh600000,2021_03_05_09:37:11,10.88,-0.01,147,"159,936",ÂôÅÌ
sh600000,2021_03_05_09:37:08,10.89,--,167,"181,863",ÂòÅÌ
sh600000,2021_03_05_09:37:05,10.89,--,44,"47,916",ÂôÅÌ
sh600000,2021_03_05_09:37:02,10.89,-0.01,104,"113,256",ÂôÅÌ
sh600000,2021_03_05_09:36:59,10.90,0.01,13,"14,170",ÂòÅÌ
sh600000,2021_03_05_09:36:56,10.89,--,98,"106,722",ÂôÅÌ
sh600000,2021_03_05_09:36:53,10.89,-0.01,314,"341,946",ÂôÅÌ
sh600000,2021_03_05_09:36:50,10.90,-0.01,33,"35,970",ÂôÅÌ
sh600000,2021_03_05_09:36:47,10.91,0.01,116,"126,556",ÂòÅÌ
sh600000,2021_03_05_09:36:44,10.90,--,202,"220,180",ÂòÅÌ
sh600000,2021_03_05_09:36:41,10.90,--,170,"185,300",ÂòÅÌ
sh600000,2021_03_05_09:36:38,10.90,-0.01,197,"214,730",ÂôÅÌ
sh600000,2021_03_05_09:36:35,10.91,0.01,424,"462,584",ÂòÅÌ
sh600000,2021_03_05_09:36:32,10.90,--,279,"304,110",ÂôÅÌ
sh600000,2021_03_05_09:36:29,10.90,-0.01,545,"594,050",ÂôÅÌ
sh600000,2021_03_05_09:36:26,10.91,0.01,462,"504,042",ÂòÅÌ
sh600000,2021_03_05_09:36:23,10.90,--,526,"573,340",ÂôÅÌ
sh600000,2021_03_05_09:36:20,10.90,-0.01,173,"188,570",ÂôÅÌ
sh600000,2021_03_05_09:36:17,10.91,0.01,851,"928,441",ÂòÅÌ
sh600000,2021_03_05_09:36:14,10.90,-0.01,401,"437,090",ÂôÅÌ
sh600000,2021_03_05_09:36:11,10.91,--,94,"102,554",ÂòÅÌ
sh600000,2021_03_05_09:36:08,10.91,--,1005,"1,096,455",ÂòÅÌ
sh600000,2021_03_05_09:36:05,10.91,--,433,"472,403",ÂòÅÌ
sh600000,2021_03_05_09:36:02,10.91,--,56,"61,096",ÂòÅÌ
sh600000,2021_03_05_09:35:59,10.91,--,241,"262,931",ÂòÅÌ
sh600000,2021_03_05_09:35:56,10.91,--,188,"205,108",ÂòÅÌ
sh600000,2021_03_05_09:35:53,10.91,--,211,"230,201",ÂôÅÌ
sh600000,2021_03_05_09:35:50,10.91,--,450,"490,950",ÂòÅÌ
sh600000,2021_03_05_09:35:47,10.91,--,162,"176,742",ÂòÅÌ
sh600000,2021_03_05_09:35:44,10.91,0.01,315,"343,665",ÂòÅÌ
sh600000,2021_03_05_09:35:41,10.90,--,665,"724,850",ÂôÅÌ
sh600000,2021_03_05_09:35:38,10.90,-0.01,983,"1,071,470",ÂôÅÌ
sh600000,2021_03_05_09:35:35,10.91,--,387,"422,217",ÂòÅÌ
sh600000,2021_03_05_09:35:32,10.91,0.01,156,"170,196",ÂòÅÌ
sh600000,2021_03_05_09:35:29,10.90,--,255,"277,950",ÂôÅÌ
sh600000,2021_03_05_09:35:26,10.90,--,379,"413,110",ÂôÅÌ
sh600000,2021_03_05_09:35:23,10.90,10.9,2,"2,180",ÂòÅÌ
sh600000,2021_03_05_09:41:41,10.83,--,37,"40,071",ÂôÅÌ
sh600000,2021_03_05_09:41:35,10.83,--,130,"140,790",ÂôÅÌ
sh600000,2021_03_05_09:41:32,10.83,-0.02,1098,"1,189,134",ÂôÅÌ
sh600000,2021_03_05_09:41:29,10.85,0.01,72,"78,120",ÂòÅÌ
sh600000,2021_03_05_09:41:26,10.84,-0.01,25,"27,100",ÂôÅÌ
sh600000,2021_03_05_09:41:23,10.85,0.01,568,"616,280",ÂòÅÌ
sh600000,2021_03_05_09:41:20,10.84,0.01,950,"1,029,800",ÂòÅÌ
sh600000,2021_03_05_09:41:17,10.83,-0.01,152,"164,616",ÂôÅÌ
sh600000,2021_03_05_09:41:14,10.84,-0.01,344,"372,896",ÂôÅÌ
sh600000,2021_03_05_09:41:11,10.85,-0.01,2653,"2,878,505",ÂôÅÌ
sh600000,2021_03_05_09:41:08,10.86,-0.01,480,"521,280",ÂôÅÌ
sh600000,2021_03_05_09:41:05,10.87,--,436,"473,932",ÂòÅÌ
sh600000,2021_03_05_09:41:02,10.87,--,53,"57,611",ÂòÅÌ
sh600000,2021_03_05_09:40:59,10.87,--,22,"23,914",ÂòÅÌ
sh600000,2021_03_05_09:40:56,10.87,0.01,183,"198,921",ÂòÅÌ
sh600000,2021_03_05_09:40:53,10.86,-0.01,50,"54,300",ÂôÅÌ
sh600000,2021_03_05_09:40:50,10.87,--,70,"76,090",ÂòÅÌ
sh600000,2021_03_05_09:40:47,10.87,-0.01,1530,"1,663,110",ÂôÅÌ
sh600000,2021_03_05_09:40:14,10.88,--,135,"146,880",ÂòÅÌ
sh600000,2021_03_05_09:40:11,10.88,0.01,272,"295,936",ÂòÅÌ
sh600000,2021_03_05_09:40:08,10.87,-0.01,215,"234,379",ÖÐÐÔÅÌ
sh600000,2021_03_05_09:40:05,10.88,0.02,107,"116,416",ÂòÅÌ
sh600000,2021_03_05_09:40:02,10.86,--,7,"8,015",ÂôÅÌ
sh600000,2021_03_05_09:39:59,10.86,-0.01,172,"186,792",ÖÐÐÔÅÌ
sh600000,2021_03_05_09:39:56,10.87,0.03,432,"469,584",ÂòÅÌ
sh600000,2021_03_05_09:39:53,10.84,-0.01,71,"76,964",ÂôÅÌ
sh600000,2021_03_05_09:39:50,10.85,0.01,200,"217,000",ÂòÅÌ
sh600000,2021_03_05_09:39:47,10.84,-0.02,4534,"4,914,856",ÂôÅÌ
sh600000,2021_03_05_09:39:08,10.86,--,328,"356,208",ÂôÅÌ
sh600000,2021_03_05_09:39:05,10.86,-0.01,49,"53,214",ÂôÅÌ
sh600000,2021_03_05_09:39:02,10.87,0.01,14,"15,218",ÂòÅÌ
sh600000,2021_03_05_09:38:59,10.86,--,108,"117,288",ÂôÅÌ
sh600000,2021_03_05_09:38:57,10.86,10.86,894,"970,884",ÂòÅÌ
sh600000,2021_03_05_09:45:41,10.79,--,2294,"2,475,226",ÂòÅÌ
sh600000,2021_03_05_09:45:38,10.79,-0.01,159,"171,561",ÂôÅÌ
sh600000,2021_03_05_09:45:35,10.80,0.02,175,"189,000",ÂòÅÌ
sh600000,2021_03_05_09:45:32,10.78,--,222,"239,316",ÂôÅÌ
sh600000,2021_03_05_09:45:29,10.78,-0.01,2,"2,156",ÂôÅÌ
sh600000,2021_03_05_09:45:26,10.79,-0.01,171,"184,509",ÂôÅÌ
sh600000,2021_03_05_09:45:23,10.80,0.01,394,"425,520",ÂòÅÌ
sh600000,2021_03_05_09:45:20,10.79,-0.01,428,"461,812",ÂôÅÌ
sh600000,2021_03_05_09:45:17,10.80,-0.01,2603,"2,811,240",ÂôÅÌ
sh600000,2021_03_05_09:45:14,10.81,--,572,"618,332",ÂòÅÌ
sh600000,2021_03_05_09:45:11,10.81,--,896,"968,576",ÂôÅÌ
sh600000,2021_03_05_09:45:08,10.81,-0.02,3776,"4,081,856",ÂôÅÌ
sh600000,2021_03_05_09:45:05,10.83,--,110,"119,130",ÂôÅÌ
sh600000,2021_03_05_09:45:02,10.83,--,129,"139,707",ÂôÅÌ
sh600000,2021_03_05_09:44:59,10.83,--,638,"690,954",ÂòÅÌ
sh600000,2021_03_05_09:44:56,10.83,--,5,"5,415",ÂôÅÌ
sh600000,2021_03_05_09:44:53,10.83,-0.01,1,"1,083",ÖÐÐÔÅÌ
sh600000,2021_03_05_09:44:47,10.84,0.01,1634,"1,771,256",ÂòÅÌ
sh600000,2021_03_05_09:44:44,10.83,0.01,9,"9,747",ÂòÅÌ
sh600000,2021_03_05_09:44:41,10.82,--,8,"8,656",ÂôÅÌ
sh600000,2021_03_05_09:44:38,10.82,--,18,"19,476",ÂôÅÌ
sh600000,2021_03_05_09:44:35,10.82,--,503,"544,246",ÂôÅÌ
sh600000,2021_03_05_09:44:32,10.82,0.01,739,"799,598",ÂòÅÌ
sh600000,2021_03_05_09:44:29,10.81,-0.01,114,"123,234",ÂôÅÌ
sh600000,2021_03_05_09:44:26,10.82,0.01,136,"147,152",ÂòÅÌ
sh600000,2021_03_05_09:44:23,10.81,--,90,"97,290",ÂôÅÌ
sh600000,2021_03_05_09:44:20,10.81,--,6,"6,486",ÂôÅÌ
sh600000,2021_03_05_09:44:17,10.81,-0.01,99,"107,019",ÂôÅÌ
sh600000,2021_03_05_09:44:14,10.82,--,30,"32,460",ÂòÅÌ
sh600000,2021_03_05_09:44:11,10.82,--,310,"335,420",ÂòÅÌ
sh600000,2021_03_05_09:44:08,10.82,--,55,"59,510",ÂòÅÌ
sh600000,2021_03_05_09:44:05,10.82,-0.01,40,"43,280",ÖÐÐÔÅÌ
sh600000,2021_03_05_09:44:02,10.83,-0.01,3030,"3,281,490",ÂôÅÌ
sh600000,2021_03_05_09:43:59,10.84,0.01,200,"216,800",ÂòÅÌ
sh600000,2021_03_05_09:43:56,10.83,--,128,"138,624",ÂôÅÌ
sh600000,2021_03_05_09:43:53,10.83,--,33,"35,739",ÂôÅÌ
sh600000,2021_03_05_09:43:50,10.83,--,470,"509,010",ÂòÅÌ
sh600000,2021_03_05_09:43:47,10.83,0.01,14,"15,162",ÂòÅÌ
sh600000,2021_03_05_09:43:44,10.82,-0.01,623,"674,086",ÖÐÐÔÅÌ
sh600000,2021_03_05_09:43:41,10.83,0.02,1242,"1,345,086",ÂòÅÌ
sh600000,2021_03_05_09:43:35,10.81,-0.01,102,"110,262",ÂôÅÌ
sh600000,2021_03_05_09:43:32,10.82,--,79,"85,478",ÂôÅÌ
sh600000,2021_03_05_09:43:29,10.82,--,534,"577,788",ÂôÅÌ
sh600000,2021_03_05_09:43:26,10.82,-0.01,51,"55,182",ÂôÅÌ
sh600000,2021_03_05_09:43:23,10.83,--,155,"167,865",ÂôÅÌ
sh600000,2021_03_05_09:43:20,10.83,-0.01,17,"18,411",ÂôÅÌ
sh600000,2021_03_05_09:43:17,10.84,--,53,"57,452",ÂòÅÌ
sh600000,2021_03_05_09:43:14,10.84,-0.02,209,"226,556",ÂôÅÌ
sh600000,2021_03_05_09:43:11,10.86,0.03,2898,"3,147,228",ÂòÅÌ
sh600000,2021_03_05_09:42:53,10.83,0.01,40,"43,320",ÖÐÐÔÅÌ
sh600000,2021_03_05_09:42:50,10.82,-0.02,231,"249,942",ÂôÅÌ
sh600000,2021_03_05_09:42:47,10.84,0.01,1374,"1,489,416",ÂòÅÌ
sh600000,2021_03_05_09:42:44,10.83,--,31,"33,573",ÂôÅÌ
sh600000,2021_03_05_09:42:41,10.83,-0.01,59,"63,897",ÂôÅÌ
sh600000,2021_03_05_09:42:38,10.84,0.01,479,"519,236",ÂòÅÌ
sh600000,2021_03_05_09:42:35,10.83,--,32,"34,656",ÂòÅÌ
sh600000,2021_03_05_09:42:32,10.83,0.01,109,"118,047",ÂòÅÌ
sh600000,2021_03_05_09:42:29,10.82,--,65,"70,330",ÂôÅÌ
sh600000,2021_03_05_09:42:26,10.82,-0.01,1089,"1,178,298",ÂôÅÌ
sh600000,2021_03_05_09:42:23,10.83,10.83,5987,"6,484,463",ÂòÅÌ
sh600000,2021_03_05_09:49:08,10.75,--,280,"301,000",ÂòÅÌ
sh600000,2021_03_05_09:49:05,10.75,0.01,131,"140,825",ÂòÅÌ
sh600000,2021_03_05_09:49:02,10.74,--,56,"60,144",ÂôÅÌ
sh600000,2021_03_05_09:48:59,10.74,--,30,"32,220",ÂôÅÌ
sh600000,2021_03_05_09:48:56,10.74,--,327,"351,198",ÂôÅÌ
sh600000,2021_03_05_09:48:53,10.74,-0.02,3540,"3,801,960",ÂôÅÌ
sh600000,2021_03_05_09:48:50,10.76,--,336,"361,536",ÂòÅÌ
sh600000,2021_03_05_09:48:47,10.76,--,229,"246,404",ÂòÅÌ
sh600000,2021_03_05_09:48:44,10.76,--,135,"145,260",ÂòÅÌ
sh600000,2021_03_05_09:48:41,10.76,--,101,"108,676",ÂòÅÌ
sh600000,2021_03_05_09:48:38,10.76,0.01,230,"247,480",ÂòÅÌ
sh600000,2021_03_05_09:48:35,10.75,-0.01,474,"509,550",ÂôÅÌ
sh600000,2021_03_05_09:48:32,10.76,--,218,"234,568",ÂòÅÌ
sh600000,2021_03_05_09:48:29,10.76,--,118,"126,968",ÂôÅÌ
sh600000,2021_03_05_09:48:26,10.76,0.01,415,"446,540",ÂòÅÌ
sh600000,2021_03_05_09:48:23,10.75,-0.01,335,"360,125",ÂôÅÌ
sh600000,2021_03_05_09:48:20,10.76,--,449,"483,124",ÂòÅÌ
sh600000,2021_03_05_09:48:17,10.76,--,777,"836,052",ÂôÅÌ
sh600000,2021_03_05_09:48:14,10.76,--,241,"259,316",ÂôÅÌ
sh600000,2021_03_05_09:48:11,10.76,--,1552,"1,669,952",ÂôÅÌ
sh600000,2021_03_05_09:48:08,10.76,-0.01,32,"34,432",ÂôÅÌ
sh600000,2021_03_05_09:48:05,10.77,--,144,"155,088",ÂòÅÌ
sh600000,2021_03_05_09:48:02,10.77,0.01,542,"583,734",ÂòÅÌ
sh600000,2021_03_05_09:47:59,10.76,-0.01,143,"153,868",ÂôÅÌ
sh600000,2021_03_05_09:47:56,10.77,0.01,51,"54,927",ÂòÅÌ
sh600000,2021_03_05_09:47:53,10.76,-0.01,159,"171,084",ÂôÅÌ
sh600000,2021_03_05_09:47:50,10.77,--,69,"74,313",ÂòÅÌ
sh600000,2021_03_05_09:47:47,10.77,--,91,"98,007",ÂòÅÌ
sh600000,2021_03_05_09:47:44,10.77,0.01,916,"986,532",ÂòÅÌ
sh600000,2021_03_05_09:47:41,10.76,--,199,"214,124",ÂôÅÌ
sh600000,2021_03_05_09:47:38,10.76,-0.01,30,"32,280",ÂôÅÌ
sh600000,2021_03_05_09:47:35,10.77,--,44,"47,388",ÂòÅÌ
sh600000,2021_03_05_09:47:32,10.77,--,267,"287,559",ÂòÅÌ
sh600000,2021_03_05_09:47:29,10.77,0.01,10,"10,770",ÂòÅÌ
sh600000,2021_03_05_09:47:26,10.76,0.01,306,"329,256",ÖÐÐÔÅÌ
sh600000,2021_03_05_09:47:23,10.75,-0.02,1072,"1,152,400",ÂôÅÌ
sh600000,2021_03_05_09:47:20,10.77,--,205,"220,785",ÂòÅÌ
sh600000,2021_03_05_09:47:17,10.77,0.01,394,"424,338",ÂòÅÌ
sh600000,2021_03_05_09:47:14,10.76,--,537,"577,812",ÂòÅÌ
sh600000,2021_03_05_09:47:11,10.76,--,198,"213,048",ÂòÅÌ
sh600000,2021_03_05_09:47:08,10.76,--,137,"147,412",ÂòÅÌ
sh600000,2021_03_05_09:47:05,10.76,--,173,"186,148",ÂòÅÌ
sh600000,2021_03_05_09:47:02,10.76,0.01,136,"146,336",ÂòÅÌ
sh600000,2021_03_05_09:46:59,10.75,-0.01,475,"510,625",ÂôÅÌ
sh600000,2021_03_05_09:46:56,10.76,--,97,"104,372",ÂòÅÌ
sh600000,2021_03_05_09:46:53,10.76,0.01,472,"507,872",ÂòÅÌ
sh600000,2021_03_05_09:46:50,10.75,--,207,"222,525",ÂôÅÌ
sh600000,2021_03_05_09:46:47,10.75,-0.01,214,"230,050",ÂôÅÌ
